"Step","SupervisedLearning_1 - R2/val","SupervisedLearning_1 - R2/val__MIN","SupervisedLearning_1 - R2/val__MAX"
"0","0.4787338674068451","0.4787338674068451","0.4787338674068451"
"1","0.49070844054222107","0.49070844054222107","0.49070844054222107"
"2","0.49673929810523987","0.49673929810523987","0.49673929810523987"
"3","0.5011793971061707","0.5011793971061707","0.5011793971061707"
"4","0.5039967894554138","0.5039967894554138","0.5039967894554138"
"5","0.5077828764915466","0.5077828764915466","0.5077828764915466"
"6","0.5097355246543884","0.5097355246543884","0.5097355246543884"
"7","0.5122425556182861","0.5122425556182861","0.5122425556182861"
"8","0.5138704180717468","0.5138704180717468","0.5138704180717468"
"9","0.5167866945266724","0.5167866945266724","0.5167866945266724"
"10","0.5171895623207092","0.5171895623207092","0.5171895623207092"
"11","0.5202088952064514","0.5202088952064514","0.5202088952064514"
"12","0.5208787322044373","0.5208787322044373","0.5208787322044373"
"13","0.5223490595817566","0.5223490595817566","0.5223490595817566"
"14","0.5249490141868591","0.5249490141868591","0.5249490141868591"
"15","0.5259788632392883","0.5259788632392883","0.5259788632392883"
"16","0.5255770683288574","0.5255770683288574","0.5255770683288574"
"17","0.5287109017372131","0.5287109017372131","0.5287109017372131"
"18","0.5295060276985168","0.5295060276985168","0.5295060276985168"
"19","0.5307886004447937","0.5307886004447937","0.5307886004447937"
"20","0.5317534804344177","0.5317534804344177","0.5317534804344177"
"21","0.5330109000205994","0.5330109000205994","0.5330109000205994"
"22","0.5335643887519836","0.5335643887519836","0.5335643887519836"
"23","0.5349456071853638","0.5349456071853638","0.5349456071853638"
"24","0.5354416966438293","0.5354416966438293","0.5354416966438293"
"25","0.5368884801864624","0.5368884801864624","0.5368884801864624"
"26","0.5371904373168945","0.5371904373168945","0.5371904373168945"
"27","0.5377404689788818","0.5377404689788818","0.5377404689788818"
"28","0.5388672947883606","0.5388672947883606","0.5388672947883606"
"29","0.5391473174095154","0.5391473174095154","0.5391473174095154"
"30","0.5405588746070862","0.5405588746070862","0.5405588746070862"
"31","0.5412823557853699","0.5412823557853699","0.5412823557853699"
"32","0.541847288608551","0.541847288608551","0.541847288608551"
"33","0.5422911643981934","0.5422911643981934","0.5422911643981934"
"34","0.5425087809562683","0.5425087809562683","0.5425087809562683"
"35","0.5426545739173889","0.5426545739173889","0.5426545739173889"
"36","0.5442326068878174","0.5442326068878174","0.5442326068878174"
"37","0.5440893769264221","0.5440893769264221","0.5440893769264221"
"38","0.5451430678367615","0.5451430678367615","0.5451430678367615"
"39","0.5454735159873962","0.5454735159873962","0.5454735159873962"
"40","0.5466806292533875","0.5466806292533875","0.5466806292533875"
"41","0.5472157001495361","0.5472157001495361","0.5472157001495361"
"42","0.5474292635917664","0.5474292635917664","0.5474292635917664"
"43","0.5481545925140381","0.5481545925140381","0.5481545925140381"
"44","0.5470749735832214","0.5470749735832214","0.5470749735832214"
"45","0.5482005476951599","0.5482005476951599","0.5482005476951599"
"46","0.5498133301734924","0.5498133301734924","0.5498133301734924"
"47","0.5498741269111633","0.5498741269111633","0.5498741269111633"
"48","0.5502488613128662","0.5502488613128662","0.5502488613128662"
"49","0.551036536693573","0.551036536693573","0.551036536693573"
"50","0.5511382222175598","0.5511382222175598","0.5511382222175598"
"51","0.5518626570701599","0.5518626570701599","0.5518626570701599"
"52","0.5521485209465027","0.5521485209465027","0.5521485209465027"
"53","0.5529863238334656","0.5529863238334656","0.5529863238334656"
"54","0.5529111623764038","0.5529111623764038","0.5529111623764038"
"55","0.5535796284675598","0.5535796284675598","0.5535796284675598"
"56","0.5539560317993164","0.5539560317993164","0.5539560317993164"
"57","0.554348886013031","0.554348886013031","0.554348886013031"
"58","0.5545571446418762","0.5545571446418762","0.5545571446418762"
"59","0.5555981993675232","0.5555981993675232","0.5555981993675232"
"60","0.5558071732521057","0.5558071732521057","0.5558071732521057"
"61","0.5556662678718567","0.5556662678718567","0.5556662678718567"
"62","0.5565178394317627","0.5565178394317627","0.5565178394317627"
"63","0.5570245385169983","0.5570245385169983","0.5570245385169983"
"64","0.5571302771568298","0.5571302771568298","0.5571302771568298"
"65","0.5577549338340759","0.5577549338340759","0.5577549338340759"
"66","0.5575293898582458","0.5575293898582458","0.5575293898582458"
"67","0.5575602054595947","0.5575602054595947","0.5575602054595947"
"68","0.5588914752006531","0.5588914752006531","0.5588914752006531"
"69","0.5586302876472473","0.5586302876472473","0.5586302876472473"
"70","0.5581088066101074","0.5581088066101074","0.5581088066101074"
"71","0.5593352913856506","0.5593352913856506","0.5593352913856506"
"72","0.5600643754005432","0.5600643754005432","0.5600643754005432"
"73","0.5600482821464539","0.5600482821464539","0.5600482821464539"
"74","0.5603838562965393","0.5603838562965393","0.5603838562965393"
"75","0.5610788464546204","0.5610788464546204","0.5610788464546204"
"76","0.5611662864685059","0.5611662864685059","0.5611662864685059"
"77","0.5614032745361328","0.5614032745361328","0.5614032745361328"
"78","0.5617305636405945","0.5617305636405945","0.5617305636405945"
"79","0.5623611807823181","0.5623611807823181","0.5623611807823181"
"80","0.5624530911445618","0.5624530911445618","0.5624530911445618"
"81","0.5624615550041199","0.5624615550041199","0.5624615550041199"
"82","0.5627617239952087","0.5627617239952087","0.5627617239952087"
"83","0.5629898905754089","0.5629898905754089","0.5629898905754089"
"84","0.5629786252975464","0.5629786252975464","0.5629786252975464"
"85","0.5633048415184021","0.5633048415184021","0.5633048415184021"
"86","0.563901424407959","0.563901424407959","0.563901424407959"
"87","0.5643450617790222","0.5643450617790222","0.5643450617790222"
"88","0.5645368695259094","0.5645368695259094","0.5645368695259094"
"89","0.5645778775215149","0.5645778775215149","0.5645778775215149"
"90","0.5648882389068604","0.5648882389068604","0.5648882389068604"
"91","0.5657389163970947","0.5657389163970947","0.5657389163970947"
"92","0.5657947063446045","0.5657947063446045","0.5657947063446045"
"93","0.5651612877845764","0.5651612877845764","0.5651612877845764"
"94","0.5658860802650452","0.5658860802650452","0.5658860802650452"
"95","0.5660505890846252","0.5660505890846252","0.5660505890846252"
"96","0.5665073394775391","0.5665073394775391","0.5665073394775391"
"97","0.5665528774261475","0.5665528774261475","0.5665528774261475"
"98","0.5669097304344177","0.5669097304344177","0.5669097304344177"
"99","0.5664758086204529","0.5664758086204529","0.5664758086204529"
"100","0.5670177340507507","0.5670177340507507","0.5670177340507507"
"101","0.5674669146537781","0.5674669146537781","0.5674669146537781"
"102","0.5673580169677734","0.5673580169677734","0.5673580169677734"
"103","0.5673699975013733","0.5673699975013733","0.5673699975013733"
"104","0.5671842098236084","0.5671842098236084","0.5671842098236084"
"105","0.5682777166366577","0.5682777166366577","0.5682777166366577"
"106","0.5675115585327148","0.5675115585327148","0.5675115585327148"
"107","0.5680188536643982","0.5680188536643982","0.5680188536643982"
"108","0.5685756206512451","0.5685756206512451","0.5685756206512451"
"109","0.5687572956085205","0.5687572956085205","0.5687572956085205"
"110","0.5686531662940979","0.5686531662940979","0.5686531662940979"
"111","0.5688512325286865","0.5688512325286865","0.5688512325286865"
"112","0.5689959526062012","0.5689959526062012","0.5689959526062012"
"113","0.569521963596344","0.569521963596344","0.569521963596344"
"114","0.5695646405220032","0.5695646405220032","0.5695646405220032"
"115","0.5694276690483093","0.5694276690483093","0.5694276690483093"
