"Step","UnsupervisedLearning1 - SpectralEfficiency/pred","UnsupervisedLearning1 - SpectralEfficiency/pred__MIN","UnsupervisedLearning1 - SpectralEfficiency/pred__MAX","UnsupervisedLearning1 - SpectralEfficiency/rand","UnsupervisedLearning1 - SpectralEfficiency/rand__MIN","UnsupervisedLearning1 - SpectralEfficiency/rand__MAX","UnsupervisedLearning1 - SpectralEfficiency/val","UnsupervisedLearning1 - SpectralEfficiency/val__MIN","UnsupervisedLearning1 - SpectralEfficiency/val__MAX","UnsupervisedLearning1 - SpectralEfficiency/zero","UnsupervisedLearning1 - SpectralEfficiency/zero__MIN","UnsupervisedLearning1 - SpectralEfficiency/zero__MAX"
"0","12.411375045776367","12.411375045776367","12.411375045776367","11.773296356201172","11.773296356201172","11.773296356201172","11.890082359313965","11.890082359313965","11.890082359313965","11.84359073638916","11.84359073638916","11.84359073638916"
"100","12.800065994262695","12.800065994262695","12.800065994262695","11.756548881530762","11.756548881530762","11.756548881530762","11.890082359313965","11.890082359313965","11.890082359313965","11.84359073638916","11.84359073638916","11.84359073638916"
"200","12.825236320495605","12.825236320495605","12.825236320495605","11.76279067993164","11.76279067993164","11.76279067993164","11.890082359313965","11.890082359313965","11.890082359313965","11.84359073638916","11.84359073638916","11.84359073638916"
"300","12.868206977844238","12.868206977844238","12.868206977844238","11.85368824005127","11.85368824005127","11.85368824005127","11.890082359313965","11.890082359313965","11.890082359313965","11.84359073638916","11.84359073638916","11.84359073638916"
"400","12.923576354980469","12.923576354980469","12.923576354980469","11.784408569335938","11.784408569335938","11.784408569335938","11.890082359313965","11.890082359313965","11.890082359313965","11.84359073638916","11.84359073638916","11.84359073638916"
"500","12.942211151123047","12.942211151123047","12.942211151123047","11.80297565460205","11.80297565460205","11.80297565460205","11.890082359313965","11.890082359313965","11.890082359313965","11.84359073638916","11.84359073638916","11.84359073638916"
"600","12.941854476928711","12.941854476928711","12.941854476928711","11.823569297790527","11.823569297790527","11.823569297790527","11.890082359313965","11.890082359313965","11.890082359313965","11.84359073638916","11.84359073638916","11.84359073638916"
"700","12.94593334197998","12.94593334197998","12.94593334197998","11.7841796875","11.7841796875","11.7841796875","11.890082359313965","11.890082359313965","11.890082359313965","11.84359073638916","11.84359073638916","11.84359073638916"
"800","12.973237991333008","12.973237991333008","12.973237991333008","11.80868148803711","11.80868148803711","11.80868148803711","11.890082359313965","11.890082359313965","11.890082359313965","11.84359073638916","11.84359073638916","11.84359073638916"
"900","12.967562675476074","12.967562675476074","12.967562675476074","11.777728080749512","11.777728080749512","11.777728080749512","11.890082359313965","11.890082359313965","11.890082359313965","11.84359073638916","11.84359073638916","11.84359073638916"
"1000","12.975564002990723","12.975564002990723","12.975564002990723","11.823271751403809","11.823271751403809","11.823271751403809","11.890082359313965","11.890082359313965","11.890082359313965","11.84359073638916","11.84359073638916","11.84359073638916"
"1100","12.986390113830566","12.986390113830566","12.986390113830566","11.793540954589844","11.793540954589844","11.793540954589844","11.890082359313965","11.890082359313965","11.890082359313965","11.84359073638916","11.84359073638916","11.84359073638916"
"1200","12.989664077758789","12.989664077758789","12.989664077758789","11.774039268493652","11.774039268493652","11.774039268493652","11.890082359313965","11.890082359313965","11.890082359313965","11.84359073638916","11.84359073638916","11.84359073638916"
"1300","12.981392860412598","12.981392860412598","12.981392860412598","11.801244735717773","11.801244735717773","11.801244735717773","11.890082359313965","11.890082359313965","11.890082359313965","11.84359073638916","11.84359073638916","11.84359073638916"
"1400","13.011223793029785","13.011223793029785","13.011223793029785","11.782501220703125","11.782501220703125","11.782501220703125","11.890082359313965","11.890082359313965","11.890082359313965","11.84359073638916","11.84359073638916","11.84359073638916"
"1500","13.005759239196777","13.005759239196777","13.005759239196777","11.862237930297852","11.862237930297852","11.862237930297852","11.890082359313965","11.890082359313965","11.890082359313965","11.84359073638916","11.84359073638916","11.84359073638916"
"1600","13.020251274108887","13.020251274108887","13.020251274108887","11.796996116638184","11.796996116638184","11.796996116638184","11.890082359313965","11.890082359313965","11.890082359313965","11.84359073638916","11.84359073638916","11.84359073638916"
"1700","13.014654159545898","13.014654159545898","13.014654159545898","11.848395347595215","11.848395347595215","11.848395347595215","11.890082359313965","11.890082359313965","11.890082359313965","11.84359073638916","11.84359073638916","11.84359073638916"
