"Step","SupervisedLearning_1 - Loss/train","SupervisedLearning_1 - Loss/train__MIN","SupervisedLearning_1 - Loss/train__MAX"
"0","0.015750960233466078","0.015750960233466078","0.015750960233466078"
"1","0.009628215154710537","0.009628215154710537","0.009628215154710537"
"2","0.008861253930566212","0.008861253930566212","0.008861253930566212"
"3","0.008460473948313544","0.008460473948313544","0.008460473948313544"
"4","0.008200064223880569","0.008200064223880569","0.008200064223880569"
"5","0.007998853630851954","0.007998853630851954","0.007998853630851954"
"6","0.007833633833797649","0.007833633833797649","0.007833633833797649"
"7","0.007698759659736727","0.007698759659736727","0.007698759659736727"
"8","0.00757356733083725","0.00757356733083725","0.00757356733083725"
"9","0.007482316568105792","0.007482316568105792","0.007482316568105792"
"10","0.007383820513496175","0.007383820513496175","0.007383820513496175"
"11","0.00731822394785316","0.00731822394785316","0.00731822394785316"
"12","0.007243437391783421","0.007243437391783421","0.007243437391783421"
"13","0.007148889994520384","0.007148889994520384","0.007148889994520384"
"14","0.0070823607287214445","0.0070823607287214445","0.0070823607287214445"
"15","0.007008522559772246","0.007008522559772246","0.007008522559772246"
"16","0.006950884135828043","0.006950884135828043","0.006950884135828043"
"17","0.006892690158565529","0.006892690158565529","0.006892690158565529"
"18","0.006838228757260367","0.006838228757260367","0.006838228757260367"
"19","0.006779871114607279","0.006779871114607279","0.006779871114607279"
"20","0.006729302229359746","0.006729302229359746","0.006729302229359746"
"21","0.006682534420785184","0.006682534420785184","0.006682534420785184"
"22","0.006635463238732579","0.006635463238732579","0.006635463238732579"
"23","0.006593708569804828","0.006593708569804828","0.006593708569804828"
"24","0.00654859754043476","0.00654859754043476","0.00654859754043476"
"25","0.006510503008030355","0.006510503008030355","0.006510503008030355"
"26","0.0064680862706154585","0.0064680862706154585","0.0064680862706154585"
"27","0.006418279076266724","0.006418279076266724","0.006418279076266724"
"28","0.006386941473465413","0.006386941473465413","0.006386941473465413"
"29","0.006364903553427818","0.006364903553427818","0.006364903553427818"
"30","0.00632640009765358","0.00632640009765358","0.00632640009765358"
"31","0.0062998222759536775","0.0062998222759536775","0.0062998222759536775"
"32","0.006265308213187382","0.006265308213187382","0.006265308213187382"
"33","0.0062243667877434445","0.0062243667877434445","0.0062243667877434445"
"34","0.006190106854774058","0.006190106854774058","0.006190106854774058"
"35","0.0061892589486281695","0.0061892589486281695","0.0061892589486281695"
"36","0.006148297882949312","0.006148297882949312","0.006148297882949312"
"37","0.006117156580633794","0.006117156580633794","0.006117156580633794"
"38","0.006093117602479954","0.006093117602479954","0.006093117602479954"
"39","0.006059043385903351","0.006059043385903351","0.006059043385903351"
"40","0.0060447910509537905","0.0060447910509537905","0.0060447910509537905"
"41","0.006020266717920701","0.006020266717920701","0.006020266717920701"
"42","0.0060071533371228725","0.0060071533371228725","0.0060071533371228725"
"43","0.005978853519385059","0.005978853519385059","0.005978853519385059"
"44","0.005944003865200405","0.005944003865200405","0.005944003865200405"
"45","0.005932168161962181","0.005932168161962181","0.005932168161962181"
"46","0.005916384106967598","0.005916384106967598","0.005916384106967598"
"47","0.005880474049869615","0.005880474049869615","0.005880474049869615"
"48","0.005846101460823168","0.005846101460823168","0.005846101460823168"
"49","0.005831771612671825","0.005831771612671825","0.005831771612671825"
"50","0.005821423425610798","0.005821423425610798","0.005821423425610798"
"51","0.0058023321616929024","0.0058023321616929024","0.0058023321616929024"
"52","0.0057825946375184385","0.0057825946375184385","0.0057825946375184385"
"53","0.005749374744482338","0.005749374744482338","0.005749374744482338"
"54","0.005738011658346902","0.005738011658346902","0.005738011658346902"
"55","0.005725911018089391","0.005725911018089391","0.005725911018089391"
"56","0.00569734175708921","0.00569734175708921","0.00569734175708921"
"57","0.005689497877028771","0.005689497877028771","0.005689497877028771"
"58","0.005660339772778873","0.005660339772778873","0.005660339772778873"
"59","0.0056396761259141686","0.0056396761259141686","0.0056396761259141686"
"60","0.005629237144603394","0.005629237144603394","0.005629237144603394"
"61","0.005595410320286949","0.005595410320286949","0.005595410320286949"
"62","0.005587647154849644","0.005587647154849644","0.005587647154849644"
"63","0.005578684644812408","0.005578684644812408","0.005578684644812408"
"64","0.005563647277692023","0.005563647277692023","0.005563647277692023"
"65","0.0055349788211363675","0.0055349788211363675","0.0055349788211363675"
"66","0.005533009005982119","0.005533009005982119","0.005533009005982119"
"67","0.005512933304999024","0.005512933304999024","0.005512933304999024"
"68","0.005492505025661861","0.005492505025661861","0.005492505025661861"
"69","0.005473805693327449","0.005473805693327449","0.005473805693327449"
"70","0.005462289627757855","0.005462289627757855","0.005462289627757855"
"71","0.005455725928186439","0.005455725928186439","0.005455725928186439"
"72","0.005440474473289214","0.005440474473289214","0.005440474473289214"
"73","0.005415175008238293","0.005415175008238293","0.005415175008238293"
"74","0.005409156467067078","0.005409156467067078","0.005409156467067078"
"75","0.00538606355257798","0.00538606355257798","0.00538606355257798"
"76","0.00538848593714647","0.00538848593714647","0.00538848593714647"
"77","0.005368824500086096","0.005368824500086096","0.005368824500086096"
"78","0.0053575274990483495","0.0053575274990483495","0.0053575274990483495"
"79","0.005341213909559883","0.005341213909559883","0.005341213909559883"
"80","0.005327087012119591","0.005327087012119591","0.005327087012119591"
"81","0.0053272303436339525","0.0053272303436339525","0.0053272303436339525"
"82","0.005312604572585163","0.005312604572585163","0.005312604572585163"
"83","0.005295719689456746","0.005295719689456746","0.005295719689456746"
"84","0.005280569389772912","0.005280569389772912","0.005280569389772912"
"85","0.00526319886072694","0.00526319886072694","0.00526319886072694"
