"Step","unsupervised_test_lr:0.00025 - usvl_test/Loss/train","unsupervised_test_lr:0.00025 - usvl_test/Loss/train__MIN","unsupervised_test_lr:0.00025 - usvl_test/Loss/train__MAX","unsupervised_test_lr:1e-05 - usvl_test/Loss/train","unsupervised_test_lr:1e-05 - usvl_test/Loss/train__MIN","unsupervised_test_lr:1e-05 - usvl_test/Loss/train__MAX","unsupervised_test_lr:5e-05 - usvl_test/Loss/train","unsupervised_test_lr:5e-05 - usvl_test/Loss/train__MIN","unsupervised_test_lr:5e-05 - usvl_test/Loss/train__MAX","unsupervised_test_lr:0.0001 - usvl_test/Loss/train","unsupervised_test_lr:0.0001 - usvl_test/Loss/train__MIN","unsupervised_test_lr:0.0001 - usvl_test/Loss/train__MAX","unsupervised_test_lr:0.0005 - usvl_test/Loss/train","unsupervised_test_lr:0.0005 - usvl_test/Loss/train__MIN","unsupervised_test_lr:0.0005 - usvl_test/Loss/train__MAX"
"10","-12.69310904542605","-12.69310904542605","-12.69310904542605","-12.624695738156637","-12.624695738156637","-12.624695738156637","-12.645393401384354","-12.645393401384354","-12.645393401384354","-12.644731163978577","-12.644731163978577","-12.644731163978577","-12.703451097011566","-12.703451097011566","-12.703451097011566"
"11","-12.695486823717753","-12.695486823717753","-12.695486823717753","-12.626348555088043","-12.626348555088043","-12.626348555088043","-12.651942988236746","-12.651942988236746","-12.651942988236746","-12.651236176490784","-12.651236176490784","-12.651236176490784","-12.719263017177582","-12.719263017177582","-12.719263017177582"
"12","-12.699604411919912","-12.699604411919912","-12.699604411919912","-12.629701266686121","-12.629701266686121","-12.629701266686121","-12.648897806803385","-12.648897806803385","-12.648897806803385","-12.6608593861262","-12.6608593861262","-12.6608593861262","-12.716761976480484","-12.716761976480484","-12.716761976480484"
"13","-12.71455149849256","-12.71455149849256","-12.71455149849256","-12.631295392910639","-12.631295392910639","-12.631295392910639","-12.651338090499243","-12.651338090499243","-12.651338090499243","-12.670516550540924","-12.670516550540924","-12.670516550540924","-12.712119549512863","-12.712119549512863","-12.712119549512863"
"14","-12.70876016219457","-12.70876016219457","-12.70876016219457","-12.63250615199407","-12.63250615199407","-12.63250615199407","-12.654962529738745","-12.654962529738745","-12.654962529738745","-12.67935753862063","-12.67935753862063","-12.67935753862063","-12.712845146656036","-12.712845146656036","-12.712845146656036"
"15","-12.712585051854452","-12.712585051854452","-12.712585051854452","-12.635565886894861","-12.635565886894861","-12.635565886894861","-12.655462602774302","-12.655462602774302","-12.655462602774302","-12.681384404500326","-12.681384404500326","-12.681384404500326","-12.720094352960587","-12.720094352960587","-12.720094352960587"
"16","-12.717554450035095","-12.717554450035095","-12.717554450035095","-12.636122077703476","-12.636122077703476","-12.636122077703476","-12.660121341546377","-12.660121341546377","-12.660121341546377","-12.68483101328214","-12.68483101328214","-12.68483101328214","-12.719140122334162","-12.719140122334162","-12.719140122334162"
"17","-12.719992369413376","-12.719992369413376","-12.719992369413376","-12.637963781754175","-12.637963781754175","-12.637963781754175","-12.663889616727829","-12.663889616727829","-12.663889616727829","-12.688519994417826","-12.688519994417826","-12.688519994417826","-12.733731657266617","-12.733731657266617","-12.733731657266617"
"18","-12.723571548859278","-12.723571548859278","-12.723571548859278","-12.639832884073257","-12.639832884073257","-12.639832884073257","-12.655713299910227","-12.655713299910227","-12.655713299910227","-12.682054142157236","-12.682054142157236","-12.682054142157236","-12.72723126411438","-12.72723126411438","-12.72723126411438"
"19","-12.721850802501043","-12.721850802501043","-12.721850802501043","-12.640219936768213","-12.640219936768213","-12.640219936768213","-12.66227642695109","-12.66227642695109","-12.66227642695109","-12.681495368480682","-12.681495368480682","-12.681495368480682","-12.732212215662003","-12.732212215662003","-12.732212215662003"
"20","-12.729034463564554","-12.729034463564554","-12.729034463564554","-12.641852090756098","-12.641852090756098","-12.641852090756098","-12.666353017091751","-12.666353017091751","-12.666353017091751","-12.68864819407463","-12.68864819407463","-12.68864819407463","-12.736120601495108","-12.736120601495108","-12.736120601495108"
"21","-12.727043211460114","-12.727043211460114","-12.727043211460114","-12.643661300341288","-12.643661300341288","-12.643661300341288","-12.67553154627482","-12.67553154627482","-12.67553154627482","-12.691885987917582","-12.691885987917582","-12.691885987917582","-12.735203723112742","-12.735203723112742","-12.735203723112742"
"22","-12.73081416885058","-12.73081416885058","-12.73081416885058","-12.643416086832682","-12.643416086832682","-12.643416086832682","-12.674401978651682","-12.674401978651682","-12.674401978651682","-12.700971593459448","-12.700971593459448","-12.700971593459448","-12.735981365044912","-12.735981365044912","-12.735981365044912"
"23","-12.73228477438291","-12.73228477438291","-12.73228477438291","-12.646131674448648","-12.646131674448648","-12.646131674448648","-12.676458487908045","-12.676458487908045","-12.676458487908045","-12.705846319595972","-12.705846319595972","-12.705846319595972","-12.723683049281439","-12.723683049281439","-12.723683049281439"
"24","-12.736484875281652","-12.736484875281652","-12.736484875281652","-12.646814664204916","-12.646814664204916","-12.646814664204916","-12.678294678529104","-12.678294678529104","-12.678294678529104","-12.707563231388727","-12.707563231388727","-12.707563231388727","-12.720629046360651","-12.720629046360651","-12.720629046360651"
"25","-12.740446458260218","-12.740446458260218","-12.740446458260218","-12.6488190193971","-12.6488190193971","-12.6488190193971","-12.674079159895578","-12.674079159895578","-12.674079159895578","-12.708260357379913","-12.708260357379913","-12.708260357379913","-12.728589673837027","-12.728589673837027","-12.728589673837027"
"26","-12.739551256100336","-12.739551256100336","-12.739551256100336","-12.649860978126526","-12.649860978126526","-12.649860978126526","-12.682491540908813","-12.682491540908813","-12.682491540908813","-12.706481089194616","-12.706481089194616","-12.706481089194616","-12.739259461561838","-12.739259461561838","-12.739259461561838"
"27","-12.73784926533699","-12.73784926533699","-12.73784926533699","-12.652381340662638","-12.652381340662638","-12.652381340662638","-12.685205429792404","-12.685205429792404","-12.685205429792404","-12.710536181926727","-12.710536181926727","-12.710536181926727","-12.741900304953257","-12.741900304953257","-12.741900304953257"
"28","-12.738215665022532","-12.738215665022532","-12.738215665022532","-12.652818421522776","-12.652818421522776","-12.652818421522776","-12.687278151512146","-12.687278151512146","-12.687278151512146","-12.718240678310394","-12.718240678310394","-12.718240678310394","-12.744642416636148","-12.744642416636148","-12.744642416636148"
"29","-12.736879219611486","-12.736879219611486","-12.736879219611486","-12.653386622667313","-12.653386622667313","-12.653386622667313","-12.681400179862976","-12.681400179862976","-12.681400179862976","-12.714380860328674","-12.714380860328674","-12.714380860328674","-12.734860450029373","-12.734860450029373","-12.734860450029373"
"30","-12.745336800813675","-12.745336800813675","-12.745336800813675","-12.65482254823049","-12.65482254823049","-12.65482254823049","-12.685790201028189","-12.685790201028189","-12.685790201028189","-12.720672200123468","-12.720672200123468","-12.720672200123468","-12.745964378118515","-12.745964378118515","-12.745964378118515"
"31","-12.746648599704107","-12.746648599704107","-12.746648599704107","-12.654869109392166","-12.654869109392166","-12.654869109392166","-12.691449950138727","-12.691449950138727","-12.691449950138727","-12.717092821995417","-12.717092821995417","-12.717092821995417","-12.747830073038736","-12.747830073038736","-12.747830073038736"
"32","-12.750240842501322","-12.750240842501322","-12.750240842501322","-12.655333836873373","-12.655333836873373","-12.655333836873373","-12.690373063087463","-12.690373063087463","-12.690373063087463","-12.725058356920878","-12.725058356920878","-12.725058356920878","-12.753013998270035","-12.753013998270035","-12.753013998270035"
"33","-12.745480795701345","-12.745480795701345","-12.745480795701345","-12.656018753846487","-12.656018753846487","-12.656018753846487","-12.690200587113699","-12.690200587113699","-12.690200587113699","-12.721518029769262","-12.721518029769262","-12.721518029769262","-12.74650153517723","-12.74650153517723","-12.74650153517723"
"34","-12.748330026865005","-12.748330026865005","-12.748330026865005","-12.656587282816568","-12.656587282816568","-12.656587282816568","-12.69481380780538","-12.69481380780538","-12.69481380780538","-12.722142030795416","-12.722142030795416","-12.722142030795416","-12.749699612458548","-12.749699612458548","-12.749699612458548"
"35","-12.75470166405042","-12.75470166405042","-12.75470166405042","-12.65788992245992","-12.65788992245992","-12.65788992245992","-12.697916855414709","-12.697916855414709","-12.697916855414709","-12.723335276047388","-12.723335276047388","-12.723335276047388","-12.746583501497904","-12.746583501497904","-12.746583501497904"
"36","-12.757342010736465","-12.757342010736465","-12.757342010736465","-12.657925625642141","-12.657925625642141","-12.657925625642141","-12.699054678281149","-12.699054678281149","-12.699054678281149","-12.727371821800867","-12.727371821800867","-12.727371821800867","-12.752994000911713","-12.752994000911713","-12.752994000911713"
"37","-12.754446317752203","-12.754446317752203","-12.754446317752203","-12.658968528111776","-12.658968528111776","-12.658968528111776","-12.700582295656204","-12.700582295656204","-12.700582295656204","-12.730022917191187","-12.730022917191187","-12.730022917191187","-12.74728274345398","-12.74728274345398","-12.74728274345398"
"38","-12.756177296241125","-12.756177296241125","-12.756177296241125","-12.659173717101416","-12.659173717101416","-12.659173717101416","-12.697084575891495","-12.697084575891495","-12.697084575891495","-12.727620979150137","-12.727620979150137","-12.727620979150137","-12.750466018915176","-12.750466018915176","-12.750466018915176"
"39","-12.758713275194168","-12.758713275194168","-12.758713275194168","-12.659811635812124","-12.659811635812124","-12.659811635812124","-12.699016322692236","-12.699016322692236","-12.699016322692236","-12.717630485693613","-12.717630485693613","-12.717630485693613","-12.756181846062342","-12.756181846062342","-12.756181846062342"
"40","-12.762557486693064","-12.762557486693064","-12.762557486693064","-12.662357598543167","-12.662357598543167","-12.662357598543167","-12.705851912498474","-12.705851912498474","-12.705851912498474","-12.722512304782867","-12.722512304782867","-12.722512304782867","-12.754642049471537","-12.754642049471537","-12.754642049471537"
"41","-12.765114724636078","-12.765114724636078","-12.765114724636078","-12.66284966468811","-12.66284966468811","-12.66284966468811","-12.703729818264643","-12.703729818264643","-12.703729818264643","-12.72957538565","-12.72957538565","-12.72957538565","-12.758579432964325","-12.758579432964325","-12.758579432964325"
"42","-12.768393556276957","-12.768393556276957","-12.768393556276957","-12.663365950187048","-12.663365950187048","-12.663365950187048","-12.702542096376419","-12.702542096376419","-12.702542096376419","-12.734178771575293","-12.734178771575293","-12.734178771575293","-12.749912252028784","-12.749912252028784","-12.749912252028784"
"43","-12.759127487738928","-12.759127487738928","-12.759127487738928","-12.662231703599295","-12.662231703599295","-12.662231703599295","-12.707948088645935","-12.707948088645935","-12.707948088645935","-12.735176006952921","-12.735176006952921","-12.735176006952921","-12.757196068763733","-12.757196068763733","-12.757196068763733"
"44","-12.759438941876093","-12.759438941876093","-12.759438941876093","-12.663805067539215","-12.663805067539215","-12.663805067539215","-12.70967678229014","-12.70967678229014","-12.70967678229014","-12.729467809200287","-12.729467809200287","-12.729467809200287","-12.758968889713287","-12.758968889713287","-12.758968889713287"
"45","-12.764738460381826","-12.764738460381826","-12.764738460381826","-12.664762218793234","-12.664762218793234","-12.664762218793234","-12.714254717032114","-12.714254717032114","-12.714254717032114","-12.736298670371374","-12.736298670371374","-12.736298670371374","-12.75833754738172","-12.75833754738172","-12.75833754738172"
"46","-12.769435197114944","-12.769435197114944","-12.769435197114944","-12.665738185246786","-12.665738185246786","-12.665738185246786","-12.713231533765793","-12.713231533765793","-12.713231533765793","-12.7380690574646","-12.7380690574646","-12.7380690574646","-12.758920083443323","-12.758920083443323","-12.758920083443323"
"47","-12.765306224425634","-12.765306224425634","-12.765306224425634","-12.666529188553492","-12.666529188553492","-12.666529188553492","-12.71639421582222","-12.71639421582222","-12.71639421582222","-12.739262769619623","-12.739262769619623","-12.739262769619623","-12.756997327009836","-12.756997327009836","-12.756997327009836"
"48","-12.764091114203135","-12.764091114203135","-12.764091114203135","-12.667104641596476","-12.667104641596476","-12.667104641596476","-12.715602417786917","-12.715602417786917","-12.715602417786917","-12.738829553127289","-12.738829553127289","-12.738829553127289","-12.763057639201483","-12.763057639201483","-12.763057639201483"
"49","-12.76505677898725","-12.76505677898725","-12.76505677898725","-12.6697365740935","-12.6697365740935","-12.6697365740935","-12.714691857496897","-12.714691857496897","-12.714691857496897","-12.743765612443289","-12.743765612443289","-12.743765612443289","-12.767758031686148","-12.767758031686148","-12.767758031686148"
"50","-12.771775086720785","-12.771775086720785","-12.771775086720785","-12.669955412546793","-12.669955412546793","-12.669955412546793","-12.720073014497757","-12.720073014497757","-12.720073014497757","-12.739992181460062","-12.739992181460062","-12.739992181460062","-12.767650117476782","-12.767650117476782","-12.767650117476782"
"51","-12.76723293463389","-12.76723293463389","-12.76723293463389","-12.669868469238281","-12.669868469238281","-12.669868469238281","-12.721199065446854","-12.721199065446854","-12.721199065446854","-12.747866928577423","-12.747866928577423","-12.747866928577423","-12.756367127100626","-12.756367127100626","-12.756367127100626"
"52","-12.7667738199234","-12.7667738199234","-12.7667738199234","-12.669883141915003","-12.669883141915003","-12.669883141915003","-12.713664223750433","-12.713664223750433","-12.713664223750433","-12.742434531450272","-12.742434531450272","-12.742434531450272","-12.759236057599386","-12.759236057599386","-12.759236057599386"
"53","-12.768050899108252","-12.768050899108252","-12.768050899108252","-12.670300513505936","-12.670300513505936","-12.670300513505936","-12.713782777388891","-12.713782777388891","-12.713782777388891","-12.74100050330162","-12.74100050330162","-12.74100050330162","-12.76289787888527","-12.76289787888527","-12.76289787888527"
"54","-12.770249327023825","-12.770249327023825","-12.770249327023825","-12.672263324260712","-12.672263324260712","-12.672263324260712","-12.719501783450445","-12.719501783450445","-12.719501783450445","-12.739603986342749","-12.739603986342749","-12.739603986342749","-12.769191533327103","-12.769191533327103","-12.769191533327103"
"55","-12.764118045568466","-12.764118045568466","-12.764118045568466","-12.673208564519882","-12.673208564519882","-12.673208564519882","-12.719635943571726","-12.719635943571726","-12.719635943571726","-12.740616152683893","-12.740616152683893","-12.740616152683893","-12.762935221195221","-12.762935221195221","-12.762935221195221"
"56","-12.766263057788214","-12.766263057788214","-12.766263057788214","-12.673984656731287","-12.673984656731287","-12.673984656731287","-12.722236702839533","-12.722236702839533","-12.722236702839533","-12.745780398448309","-12.745780398448309","-12.745780398448309","-12.764682292938232","-12.764682292938232","-12.764682292938232"
"57","-12.76522409915924","-12.76522409915924","-12.76522409915924","-12.675764272610346","-12.675764272610346","-12.675764272610346","-12.726223826408386","-12.726223826408386","-12.726223826408386","-12.747489502032598","-12.747489502032598","-12.747489502032598","-12.760562360286713","-12.760562360286713","-12.760562360286713"
"58","-12.762874474128088","-12.762874474128088","-12.762874474128088","-12.675426562627157","-12.675426562627157","-12.675426562627157","-12.727976083755493","-12.727976083755493","-12.727976083755493","-12.748567670583725","-12.748567670583725","-12.748567670583725","-12.771834472815195","-12.771834472815195","-12.771834472815195"
"59","-12.770721336205801","-12.770721336205801","-12.770721336205801","-12.676880518595377","-12.676880518595377","-12.676880518595377","-12.728369037310282","-12.728369037310282","-12.728369037310282","-12.744766821463903","-12.744766821463903","-12.744766821463903","-12.762663821379343","-12.762663821379343","-12.762663821379343"
"60","-12.772490580876669","-12.772490580876669","-12.772490580876669","-12.677022924025854","-12.677022924025854","-12.677022924025854","-12.728125731150309","-12.728125731150309","-12.728125731150309","-12.745417555173239","-12.745417555173239","-12.745417555173239","-12.76808363199234","-12.76808363199234","-12.76808363199234"
"61","-12.771099507808685","-12.771099507808685","-12.771099507808685","-12.676994125048319","-12.676994125048319","-12.676994125048319","-12.726192017396292","-12.726192017396292","-12.726192017396292","-12.75016654531161","-12.75016654531161","-12.75016654531161","-12.762822856505712","-12.762822856505712","-12.762822856505712"
"62","-12.770163903633753","-12.770163903633753","-12.770163903633753","-12.677770594755808","-12.677770594755808","-12.677770594755808","-12.730878204107285","-12.730878204107285","-12.730878204107285","-12.748816480239233","-12.748816480239233","-12.748816480239233","-12.764856398105621","-12.764856398105621","-12.764856398105621"
"63","-12.771021336317062","-12.771021336317062","-12.771021336317062","-12.677888542413712","-12.677888542413712","-12.677888542413712","-12.72907488544782","-12.72907488544782","-12.72907488544782","-12.748792588710785","-12.748792588710785","-12.748792588710785","-12.76263623436292","-12.76263623436292","-12.76263623436292"
"64","-12.773932049671808","-12.773932049671808","-12.773932049671808","-12.678662250439325","-12.678662250439325","-12.678662250439325","-12.727837473154068","-12.727837473154068","-12.727837473154068","-12.757042417923609","-12.757042417923609","-12.757042417923609","-12.76592543721199","-12.76592543721199","-12.76592543721199"
"65","-12.777586887280146","-12.777586887280146","-12.777586887280146","-12.679473906755447","-12.679473906755447","-12.679473906755447","-12.727619508902231","-12.727619508902231","-12.727619508902231","-12.759662846724192","-12.759662846724192","-12.759662846724192","-12.765496144692102","-12.765496144692102","-12.765496144692102"
"66","-12.775454143683115","-12.775454143683115","-12.775454143683115","-12.67930249373118","-12.67930249373118","-12.67930249373118","-12.735310335954031","-12.735310335954031","-12.735310335954031","-12.758284211158752","-12.758284211158752","-12.758284211158752","-12.766498525937399","-12.766498525937399","-12.766498525937399"
"67","-12.775918185710907","-12.775918185710907","-12.775918185710907","-12.679738720258078","-12.679738720258078","-12.679738720258078","-12.735719323158264","-12.735719323158264","-12.735719323158264","-12.759777665138245","-12.759777665138245","-12.759777665138245","-12.7663234770298","-12.7663234770298","-12.7663234770298"
"68","-12.778945664564768","-12.778945664564768","-12.778945664564768","-12.68057652314504","-12.68057652314504","-12.68057652314504","-12.736618528763453","-12.736618528763453","-12.736618528763453","-12.762227674325308","-12.762227674325308","-12.762227674325308","-12.766874611377716","-12.766874611377716","-12.766874611377716"
"69","-12.775616655747095","-12.775616655747095","-12.775616655747095","-12.681099891662598","-12.681099891662598","-12.681099891662598","-12.737411578496298","-12.737411578496298","-12.737411578496298","-12.761940558751425","-12.761940558751425","-12.761940558751425","-12.759953498840332","-12.759953498840332","-12.759953498840332"
"70","-12.778416613737742","-12.778416613737742","-12.778416613737742","-12.68004791935285","-12.68004791935285","-12.68004791935285","-12.737992535034815","-12.737992535034815","-12.737992535034815","-12.764383296171824","-12.764383296171824","-12.764383296171824","-12.779244621594747","-12.779244621594747","-12.779244621594747"
"71","-12.777079304059347","-12.777079304059347","-12.777079304059347","-12.67985733350118","-12.67985733350118","-12.67985733350118","-12.733476926883062","-12.733476926883062","-12.733476926883062","-12.767682204643885","-12.767682204643885","-12.767682204643885","-12.78074229756991","-12.78074229756991","-12.78074229756991"
"72","-12.772760887940725","-12.772760887940725","-12.772760887940725","-12.679967006047567","-12.679967006047567","-12.679967006047567","-12.732899288336435","-12.732899288336435","-12.732899288336435","-12.76523337761561","-12.76523337761561","-12.76523337761561","-12.76884838938713","-12.76884838938713","-12.76884838938713"
"73","-12.768331597248713","-12.768331597248713","-12.768331597248713","-12.68204108874003","-12.68204108874003","-12.68204108874003","-12.737653205792109","-12.737653205792109","-12.737653205792109","-12.7669135928154","-12.7669135928154","-12.7669135928154","-12.777941892544428","-12.777941892544428","-12.777941892544428"
"74","-12.780247370402018","-12.780247370402018","-12.780247370402018","-12.682187338670095","-12.682187338670095","-12.682187338670095","-12.73851591348648","-12.73851591348648","-12.73851591348648","-12.762490590413412","-12.762490590413412","-12.762490590413412","-12.773603280385336","-12.773603280385336","-12.773603280385336"
"75","-12.77890114982923","-12.77890114982923","-12.77890114982923","-12.683069805304209","-12.683069805304209","-12.683069805304209","-12.73831636706988","-12.73831636706988","-12.73831636706988","-12.765232702096304","-12.765232702096304","-12.765232702096304","-12.780919273694357","-12.780919273694357","-12.780919273694357"
"76","-12.781245112419128","-12.781245112419128","-12.781245112419128","-12.683365672826767","-12.683365672826767","-12.683365672826767","-12.735759188731512","-12.735759188731512","-12.735759188731512","-12.769085188706716","-12.769085188706716","-12.769085188706716","-12.772069573402405","-12.772069573402405","-12.772069573402405"
"77","-12.784806698560715","-12.784806698560715","-12.784806698560715","-12.685350636641184","-12.685350636641184","-12.685350636641184","-12.73573570450147","-12.73573570450147","-12.73573570450147","-12.76922740538915","-12.76922740538915","-12.76922740538915","-12.770838409662247","-12.770838409662247","-12.770838409662247"
"78","-12.784199366966883","-12.784199366966883","-12.784199366966883","-12.684981137514114","-12.684981137514114","-12.684981137514114","-12.735816220442453","-12.735816220442453","-12.735816220442453","-12.773871093988419","-12.773871093988419","-12.773871093988419","-12.779209673404694","-12.779209673404694","-12.779209673404694"
"79","-12.772188117106756","-12.772188117106756","-12.772188117106756","-12.685081024964651","-12.685081024964651","-12.685081024964651","-12.735583364963531","-12.735583364963531","-12.735583364963531","-12.770758340756098","-12.770758340756098","-12.770758340756098","-12.779119312763214","-12.779119312763214","-12.779119312763214"
"80","-12.779178182284037","-12.779178182284037","-12.779178182284037","-12.68481931090355","-12.68481931090355","-12.68481931090355","-12.74171331524849","-12.74171331524849","-12.74171331524849","-12.771413505077362","-12.771413505077362","-12.771413505077362","-12.778846303621927","-12.778846303621927","-12.778846303621927"
"81","-12.775610854228338","-12.775610854228338","-12.775610854228338","-12.68554151058197","-12.68554151058197","-12.68554151058197","-12.742458204428354","-12.742458204428354","-12.742458204428354","-12.768377224604288","-12.768377224604288","-12.768377224604288","-12.771728684504827","-12.771728684504827","-12.771728684504827"
"82","-12.775477786858877","-12.775477786858877","-12.775477786858877","-12.685651361942291","-12.685651361942291","-12.685651361942291","-12.745438267787298","-12.745438267787298","-12.745438267787298","-12.774263103803","-12.774263103803","-12.774263103803","-12.771536658207575","-12.771536658207575","-12.771536658207575"
"83","-12.778270691633224","-12.778270691633224","-12.778270691633224","-12.686835726102194","-12.686835726102194","-12.686835726102194","-12.745010683933893","-12.745010683933893","-12.745010683933893","-12.778361191352209","-12.778361191352209","-12.778361191352209","-12.779708236455917","-12.779708236455917","-12.779708236455917"
"84","-12.779457966486612","-12.779457966486612","-12.779457966486612","-12.687619626522064","-12.687619626522064","-12.687619626522064","-12.74552975098292","-12.74552975098292","-12.74552975098292","-12.776849428812662","-12.776849428812662","-12.776849428812662","-12.77838103969892","-12.77838103969892","-12.77838103969892"
"85","-12.783283323049545","-12.783283323049545","-12.783283323049545","-12.687807013591131","-12.687807013591131","-12.687807013591131","-12.74625700712204","-12.74625700712204","-12.74625700712204","-12.7787373761336","-12.7787373761336","-12.7787373761336","-12.784274409214655","-12.784274409214655","-12.784274409214655"
"86","-12.784603099028269","-12.784603099028269","-12.784603099028269","-12.68920585513115","-12.68920585513115","-12.68920585513115","-12.746009568373362","-12.746009568373362","-12.746009568373362","-12.779598156611124","-12.779598156611124","-12.779598156611124","-12.785582065582275","-12.785582065582275","-12.785582065582275"
"87","-12.788809647162756","-12.788809647162756","-12.788809647162756","-12.68957323829333","-12.68957323829333","-12.68957323829333","-12.746156026919683","-12.746156026919683","-12.746156026919683","-12.778925150632858","-12.778925150632858","-12.778925150632858","-12.782095779975256","-12.782095779975256","-12.782095779975256"
"88","-12.78964896996816","-12.78964896996816","-12.78964896996816","-12.69003231326739","-12.69003231326739","-12.69003231326739","-12.743749886751175","-12.743749886751175","-12.743749886751175","-12.779093732436499","-12.779093732436499","-12.779093732436499","-12.783680667479834","-12.783680667479834","-12.783680667479834"
"89","-12.790828317403793","-12.790828317403793","-12.790828317403793","-12.689222266276678","-12.689222266276678","-12.689222266276678","-12.74858475724856","-12.74858475724856","-12.74858475724856","-12.780355523029963","-12.780355523029963","-12.780355523029963","-12.781717866659164","-12.781717866659164","-12.781717866659164"
"90","-12.791196356217066","-12.791196356217066","-12.791196356217066","-12.690598358710607","-12.690598358710607","-12.690598358710607","-12.743519941965738","-12.743519941965738","-12.743519941965738","-12.780522048473358","-12.780522048473358","-12.780522048473358","-12.78337487578392","-12.78337487578392","-12.78337487578392"
"91","-12.789431442817053","-12.789431442817053","-12.789431442817053","-12.691406140724817","-12.691406140724817","-12.691406140724817","-12.749368528525034","-12.749368528525034","-12.749368528525034","-12.781560331583023","-12.781560331583023","-12.781560331583023","-12.782148569822311","-12.782148569822311","-12.782148569822311"
"92","-12.79288907845815","-12.79288907845815","-12.79288907845815","-12.69259887933731","-12.69259887933731","-12.69259887933731","-12.753422399361929","-12.753422399361929","-12.753422399361929","-12.778644452492395","-12.778644452492395","-12.778644452492395","-12.787251542011896","-12.787251542011896","-12.787251542011896"
