"Step","UnsupervisedLearning1 - Loss/train","UnsupervisedLearning1 - Loss/train__MIN","UnsupervisedLearning1 - Loss/train__MAX"
"101","-12.786290933688482","-12.786290933688482","-12.786290933688482"
"102","-12.796219309171041","-12.796219309171041","-12.796219309171041"
"103","-12.797431101401648","-12.797431101401648","-12.797431101401648"
"104","-12.795676241318384","-12.795676241318384","-12.795676241318384"
"105","-12.79289080699285","-12.79289080699285","-12.79289080699285"
"106","-12.799909134705862","-12.799909134705862","-12.799909134705862"
"107","-12.792706926663717","-12.792706926663717","-12.792706926663717"
"108","-12.796838035186132","-12.796838035186132","-12.796838035186132"
"109","-12.789476772149404","-12.789476772149404","-12.789476772149404"
"110","-12.793720771869024","-12.793720771869024","-12.793720771869024"
"111","-12.792203903198242","-12.792203903198242","-12.792203903198242"
"112","-12.794841706752777","-12.794841706752777","-12.794841706752777"
"113","-12.792545268932978","-12.792545268932978","-12.792545268932978"
"114","-12.79311360915502","-12.79311360915502","-12.79311360915502"
"115","-12.79878568649292","-12.79878568649292","-12.79878568649292"
"116","-12.792564908663431","-12.792564908663431","-12.792564908663431"
"117","-12.795698453982672","-12.795698453982672","-12.795698453982672"
"118","-12.783158928155899","-12.783158928155899","-12.783158928155899"
"119","-12.791331619024277","-12.791331619024277","-12.791331619024277"
"120","-12.800869554281235","-12.800869554281235","-12.800869554281235"
"121","-12.803668002287546","-12.803668002287546","-12.803668002287546"
"122","-12.797723829746246","-12.797723829746246","-12.797723829746246"
"123","-12.802868902683258","-12.802868902683258","-12.802868902683258"
"124","-12.802417556444803","-12.802417556444803","-12.802417556444803"
"125","-12.803651889165243","-12.803651889165243","-12.803651889165243"
"126","-12.801764696836472","-12.801764696836472","-12.801764696836472"
"127","-12.806662251551947","-12.806662251551947","-12.806662251551947"
"128","-12.806796461343765","-12.806796461343765","-12.806796461343765"
"129","-12.801184584697088","-12.801184584697088","-12.801184584697088"
"130","-12.804980834325155","-12.804980834325155","-12.804980834325155"
"131","-12.8098357518514","-12.8098357518514","-12.8098357518514"
"132","-12.812362313270569","-12.812362313270569","-12.812362313270569"
"133","-12.805590560038885","-12.805590560038885","-12.805590560038885"
"134","-12.808426558971405","-12.808426558971405","-12.808426558971405"
"135","-12.811322629451752","-12.811322629451752","-12.811322629451752"
"136","-12.811210165421167","-12.811210165421167","-12.811210165421167"
"137","-12.812676121791204","-12.812676121791204","-12.812676121791204"
"138","-12.812924613555273","-12.812924613555273","-12.812924613555273"
"139","-12.809193730354309","-12.809193730354309","-12.809193730354309"
"140","-12.79988439877828","-12.79988439877828","-12.79988439877828"
"141","-12.80388112862905","-12.80388112862905","-12.80388112862905"
"142","-12.806039909521738","-12.806039909521738","-12.806039909521738"
"143","-12.810564090808233","-12.810564090808233","-12.810564090808233"
"144","-12.812458713849386","-12.812458713849386","-12.812458713849386"
"145","-12.81664545337359","-12.81664545337359","-12.81664545337359"
"146","-12.81332434217135","-12.81332434217135","-12.81332434217135"
"147","-12.812512377897898","-12.812512377897898","-12.812512377897898"
"148","-12.805705606937408","-12.805705606937408","-12.805705606937408"
"149","-12.814418603976568","-12.814418603976568","-12.814418603976568"
"150","-12.814484318097433","-12.814484318097433","-12.814484318097433"
"151","-12.813787947098414","-12.813787947098414","-12.813787947098414"
"152","-12.813117216030756","-12.813117216030756","-12.813117216030756"
"153","-12.811389535665512","-12.811389535665512","-12.811389535665512"
"154","-12.809880137443542","-12.809880137443542","-12.809880137443542"
"155","-12.816808799902597","-12.816808799902597","-12.816808799902597"
"156","-12.819084296623865","-12.819084296623865","-12.819084296623865"
"157","-12.815803547700247","-12.815803547700247","-12.815803547700247"
"158","-12.81812005241712","-12.81812005241712","-12.81812005241712"
"159","-12.811397602160772","-12.811397602160772","-12.811397602160772"
"160","-12.815030992031097","-12.815030992031097","-12.815030992031097"
"161","-12.818384766578674","-12.818384766578674","-12.818384766578674"
"162","-12.8200264275074","-12.8200264275074","-12.8200264275074"
"163","-12.815404524405798","-12.815404524405798","-12.815404524405798"
"164","-12.813558061917623","-12.813558061917623","-12.813558061917623"
"165","-12.810976505279541","-12.810976505279541","-12.810976505279541"
"166","-12.818149427572886","-12.818149427572886","-12.818149427572886"
"167","-12.82132637500763","-12.82132637500763","-12.82132637500763"
"168","-12.81878994901975","-12.81878994901975","-12.81878994901975"
"169","-12.814317693312963","-12.814317693312963","-12.814317693312963"
"170","-12.823053220907846","-12.823053220907846","-12.823053220907846"
"171","-12.821538696686426","-12.821538696686426","-12.821538696686426"
"172","-12.822931716839472","-12.822931716839472","-12.822931716839472"
"173","-12.816955228646597","-12.816955228646597","-12.816955228646597"
"174","-12.812559713919958","-12.812559713919958","-12.812559713919958"
"175","-12.812144805987677","-12.812144805987677","-12.812144805987677"
"176","-12.808785051107407","-12.808785051107407","-12.808785051107407"
"177","-12.81686163942019","-12.81686163942019","-12.81686163942019"
"178","-12.81912993391355","-12.81912993391355","-12.81912993391355"
"179","-12.817496796449026","-12.817496796449026","-12.817496796449026"
"180","-12.816337198019028","-12.816337198019028","-12.816337198019028"
"181","-12.819334318240484","-12.819334318240484","-12.819334318240484"
"182","-12.824026753505072","-12.824026753505072","-12.824026753505072"
"183","-12.82454020778338","-12.82454020778338","-12.82454020778338"
"184","-12.822636197010675","-12.822636197010675","-12.822636197010675"
"185","-12.8260524670283","-12.8260524670283","-12.8260524670283"
"186","-12.828582336505255","-12.828582336505255","-12.828582336505255"
"187","-12.820565789937973","-12.820565789937973","-12.820565789937973"
"188","-12.82354924082756","-12.82354924082756","-12.82354924082756"
"189","-12.829737315575281","-12.829737315575281","-12.829737315575281"
"190","-12.831267644961676","-12.831267644961676","-12.831267644961676"
"191","-12.827515552441279","-12.827515552441279","-12.827515552441279"
"192","-12.826465288798014","-12.826465288798014","-12.826465288798014"
"193","-12.83119789759318","-12.83119789759318","-12.83119789759318"
"194","-12.83094929655393","-12.83094929655393","-12.83094929655393"
"195","-12.831754823525747","-12.831754823525747","-12.831754823525747"
"196","-12.828660150369009","-12.828660150369009","-12.828660150369009"
"197","-12.831080555915833","-12.831080555915833","-12.831080555915833"
"198","-12.82997993628184","-12.82997993628184","-12.82997993628184"
"199","-12.82892213265101","-12.82892213265101","-12.82892213265101"
"200","-12.829880366722742","-12.829880366722742","-12.829880366722742"
"201","-12.828962246576944","-12.828962246576944","-12.828962246576944"
"202","-12.826495011647543","-12.826495011647543","-12.826495011647543"
"203","-12.831189135710398","-12.831189135710398","-12.831189135710398"
"204","-12.829475740591684","-12.829475740591684","-12.829475740591684"
"205","-12.831930468479792","-12.831930468479792","-12.831930468479792"
"206","-12.832862367232641","-12.832862367232641","-12.832862367232641"
"207","-12.833164980014166","-12.833164980014166","-12.833164980014166"
"208","-12.834007034699122","-12.834007034699122","-12.834007034699122"
"209","-12.833789358536402","-12.833789358536402","-12.833789358536402"
"210","-12.833022038141886","-12.833022038141886","-12.833022038141886"
"211","-12.835057546695074","-12.835057546695074","-12.835057546695074"
"212","-12.835307310024897","-12.835307310024897","-12.835307310024897"
"213","-12.834015637636185","-12.834015637636185","-12.834015637636185"
"214","-12.832629462083181","-12.832629462083181","-12.832629462083181"
"215","-12.84018142024676","-12.84018142024676","-12.84018142024676"
"216","-12.834675421317419","-12.834675421317419","-12.834675421317419"
"217","-12.840500404437384","-12.840500404437384","-12.840500404437384"
"218","-12.844959477583567","-12.844959477583567","-12.844959477583567"
"219","-12.844417303800583","-12.844417303800583","-12.844417303800583"
"220","-12.841833680868149","-12.841833680868149","-12.841833680868149"
"221","-12.84194764494896","-12.84194764494896","-12.84194764494896"
"222","-12.838908086220423","-12.838908086220423","-12.838908086220423"
"223","-12.844228317340216","-12.844228317340216","-12.844228317340216"
"224","-12.84445262948672","-12.84445262948672","-12.84445262948672"
"225","-12.839522957801819","-12.839522957801819","-12.839522957801819"
"226","-12.842548350493113","-12.842548350493113","-12.842548350493113"
"227","-12.842217485109964","-12.842217485109964","-12.842217485109964"
"228","-12.844365527232489","-12.844365527232489","-12.844365527232489"
"229","-12.84846106171608","-12.84846106171608","-12.84846106171608"
"230","-12.840733875830969","-12.840733875830969","-12.840733875830969"
"231","-12.838204423586527","-12.838204423586527","-12.838204423586527"
"232","-12.839532514413198","-12.839532514413198","-12.839532514413198"
"233","-12.840681831041971","-12.840681831041971","-12.840681831041971"
"234","-12.83765443166097","-12.83765443166097","-12.83765443166097"
"235","-12.835415989160538","-12.835415989160538","-12.835415989160538"
"236","-12.834129770596823","-12.834129770596823","-12.834129770596823"
"237","-12.839928527673086","-12.839928527673086","-12.839928527673086"
"238","-12.840597550074259","-12.840597550074259","-12.840597550074259"
"239","-12.84376593430837","-12.84376593430837","-12.84376593430837"
"240","-12.847025096416473","-12.847025096416473","-12.847025096416473"
"241","-12.845358699560165","-12.845358699560165","-12.845358699560165"
"242","-12.84681056936582","-12.84681056936582","-12.84681056936582"
"243","-12.846888929605484","-12.846888929605484","-12.846888929605484"
"244","-12.847102095683416","-12.847102095683416","-12.847102095683416"
"245","-12.845484872659048","-12.845484872659048","-12.845484872659048"
"246","-12.845575163761774","-12.845575163761774","-12.845575163761774"
"247","-12.843795895576477","-12.843795895576477","-12.843795895576477"
"248","-12.842278589804968","-12.842278589804968","-12.842278589804968"
"249","-12.8494922320048","-12.8494922320048","-12.8494922320048"
"250","-12.848608702421188","-12.848608702421188","-12.848608702421188"
"251","-12.84470342596372","-12.84470342596372","-12.84470342596372"
"252","-12.847722123066584","-12.847722123066584","-12.847722123066584"
"253","-12.85020543138186","-12.85020543138186","-12.85020543138186"
"254","-12.854853997627893","-12.854853997627893","-12.854853997627893"
"255","-12.852205077807108","-12.852205077807108","-12.852205077807108"
"256","-12.849707136551539","-12.849707136551539","-12.849707136551539"
"257","-12.851374745368958","-12.851374745368958","-12.851374745368958"
"258","-12.852255016565323","-12.852255016565323","-12.852255016565323"
"259","-12.857113738854727","-12.857113738854727","-12.857113738854727"
"260","-12.854513476292292","-12.854513476292292","-12.854513476292292"
"261","-12.854072640339533","-12.854072640339533","-12.854072640339533"
"262","-12.856939733028412","-12.856939733028412","-12.856939733028412"
"263","-12.846797237793604","-12.846797237793604","-12.846797237793604"
"264","-12.851651648680368","-12.851651648680368","-12.851651648680368"
"265","-12.849400897820791","-12.849400897820791","-12.849400897820791"
"266","-12.852988024552664","-12.852988024552664","-12.852988024552664"
"267","-12.853378434975943","-12.853378434975943","-12.853378434975943"
"268","-12.853940139214197","-12.853940139214197","-12.853940139214197"
"269","-12.849501192569733","-12.849501192569733","-12.849501192569733"
"270","-12.856627444426218","-12.856627444426218","-12.856627444426218"
"271","-12.85444383819898","-12.85444383819898","-12.85444383819898"
"272","-12.85490154226621","-12.85490154226621","-12.85490154226621"
"273","-12.855916231870651","-12.855916231870651","-12.855916231870651"
"274","-12.852982729673386","-12.852982729673386","-12.852982729673386"
"275","-12.860163112481436","-12.860163112481436","-12.860163112481436"
"276","-12.858927249908447","-12.858927249908447","-12.858927249908447"
"277","-12.859584738810858","-12.859584738810858","-12.859584738810858"
"278","-12.85995235045751","-12.85995235045751","-12.85995235045751"
"279","-12.861077239116034","-12.861077239116034","-12.861077239116034"
"280","-12.861489574114481","-12.861489574114481","-12.861489574114481"
"281","-12.85939046740532","-12.85939046740532","-12.85939046740532"
"282","-12.862737268209457","-12.862737268209457","-12.862737268209457"
"283","-12.861621469259262","-12.861621469259262","-12.861621469259262"
"284","-12.85455729564031","-12.85455729564031","-12.85455729564031"
"285","-12.858398536841074","-12.858398536841074","-12.858398536841074"
"286","-12.857656846443811","-12.857656846443811","-12.857656846443811"
"287","-12.861330499251684","-12.861330499251684","-12.861330499251684"
"288","-12.861901541550955","-12.861901541550955","-12.861901541550955"
"289","-12.85887704292933","-12.85887704292933","-12.85887704292933"
"290","-12.86330235004425","-12.86330235004425","-12.86330235004425"
"291","-12.862459699312845","-12.862459699312845","-12.862459699312845"
"292","-12.861737559239069","-12.861737559239069","-12.861737559239069"
"293","-12.862797131141027","-12.862797131141027","-12.862797131141027"
"294","-12.864822993675867","-12.864822993675867","-12.864822993675867"
"295","-12.86812428633372","-12.86812428633372","-12.86812428633372"
"296","-12.870845913887024","-12.870845913887024","-12.870845913887024"
"297","-12.866380045811335","-12.866380045811335","-12.866380045811335"
"298","-12.865055322647095","-12.865055322647095","-12.865055322647095"
"299","-12.86590701341629","-12.86590701341629","-12.86590701341629"
"300","-12.868829617897669","-12.868829617897669","-12.868829617897669"
"301","-12.868486990531286","-12.868486990531286","-12.868486990531286"
"302","-12.869541247685751","-12.869541247685751","-12.869541247685751"
"303","-12.86625317732493","-12.86625317732493","-12.86625317732493"
"304","-12.867040713628134","-12.867040713628134","-12.867040713628134"
"305","-12.863288839658102","-12.863288839658102","-12.863288839658102"
"306","-12.866078545649847","-12.866078545649847","-12.866078545649847"
"307","-12.867401351531347","-12.867401351531347","-12.867401351531347"
"308","-12.867312163114548","-12.867312163114548","-12.867312163114548"
"309","-12.86815113822619","-12.86815113822619","-12.86815113822619"
"310","-12.865913907686869","-12.865913907686869","-12.865913907686869"
"311","-12.869894425074259","-12.869894425074259","-12.869894425074259"
"312","-12.871771862109503","-12.871771862109503","-12.871771862109503"
"313","-12.868489613135656","-12.868489613135656","-12.868489613135656"
"314","-12.873867730299631","-12.873867730299631","-12.873867730299631"
"315","-12.87492024898529","-12.87492024898529","-12.87492024898529"
"316","-12.874117583036423","-12.874117583036423","-12.874117583036423"
"317","-12.871721357107162","-12.871721357107162","-12.871721357107162"
"318","-12.872331947088242","-12.872331947088242","-12.872331947088242"
"319","-12.874175210793814","-12.874175210793814","-12.874175210793814"
"320","-12.871110578378042","-12.871110578378042","-12.871110578378042"
"321","-12.877291033665339","-12.877291033665339","-12.877291033665339"
"322","-12.87765982747078","-12.87765982747078","-12.87765982747078"
"323","-12.879170080025991","-12.879170080025991","-12.879170080025991"
"324","-12.876092046499252","-12.876092046499252","-12.876092046499252"
"325","-12.876673092444738","-12.876673092444738","-12.876673092444738"
"326","-12.879616757233938","-12.879616757233938","-12.879616757233938"
"327","-12.87789523601532","-12.87789523601532","-12.87789523601532"
"328","-12.87523646155993","-12.87523646155993","-12.87523646155993"
"329","-12.876191228628159","-12.876191228628159","-12.876191228628159"
"330","-12.874511192242304","-12.874511192242304","-12.874511192242304"
"331","-12.874714305003485","-12.874714305003485","-12.874714305003485"
"332","-12.878175040086111","-12.878175040086111","-12.878175040086111"
"333","-12.87679292758306","-12.87679292758306","-12.87679292758306"
"334","-12.875766038894653","-12.875766038894653","-12.875766038894653"
"335","-12.877587676048279","-12.877587676048279","-12.877587676048279"
"336","-12.874018629391989","-12.874018629391989","-12.874018629391989"
"337","-12.875536501407623","-12.875536501407623","-12.875536501407623"
"338","-12.880347589651743","-12.880347589651743","-12.880347589651743"
"339","-12.882547636826834","-12.882547636826834","-12.882547636826834"
"340","-12.881637245416641","-12.881637245416641","-12.881637245416641"
"341","-12.88286962111791","-12.88286962111791","-12.88286962111791"
"342","-12.881732632716497","-12.881732632716497","-12.881732632716497"
"343","-12.885045150915781","-12.885045150915781","-12.885045150915781"
"344","-12.88224251071612","-12.88224251071612","-12.88224251071612"
"345","-12.88151760896047","-12.88151760896047","-12.88151760896047"
"346","-12.879526843627294","-12.879526843627294","-12.879526843627294"
"347","-12.884779353936514","-12.884779353936514","-12.884779353936514"
"348","-12.887395193179449","-12.887395193179449","-12.887395193179449"
"349","-12.88195812702179","-12.88195812702179","-12.88195812702179"
"350","-12.881053219238916","-12.881053219238916","-12.881053219238916"
"351","-12.883581320444742","-12.883581320444742","-12.883581320444742"
"352","-12.887189994255701","-12.887189994255701","-12.887189994255701"
"353","-12.888003716866175","-12.888003716866175","-12.888003716866175"
"354","-12.885438144207","-12.885438144207","-12.885438144207"
"355","-12.887009451786676","-12.887009451786676","-12.887009451786676"
"356","-12.886314849058786","-12.886314849058786","-12.886314849058786"
"357","-12.884198298056921","-12.884198298056921","-12.884198298056921"
"358","-12.887863993644714","-12.887863993644714","-12.887863993644714"
"359","-12.889253556728363","-12.889253556728363","-12.889253556728363"
"360","-12.887986441453299","-12.887986441453299","-12.887986441453299"
"361","-12.889659027258555","-12.889659027258555","-12.889659027258555"
"362","-12.884820431470871","-12.884820431470871","-12.884820431470871"
"363","-12.885440727074942","-12.885440727074942","-12.885440727074942"
"364","-12.8807373046875","-12.8807373046875","-12.8807373046875"
"365","-12.885486990213394","-12.885486990213394","-12.885486990213394"
"366","-12.885961214701334","-12.885961214701334","-12.885961214701334"
"367","-12.887688308954239","-12.887688308954239","-12.887688308954239"
"368","-12.888502647479376","-12.888502647479376","-12.888502647479376"
"369","-12.887848814328512","-12.887848814328512","-12.887848814328512"
"370","-12.89040238658587","-12.89040238658587","-12.89040238658587"
"371","-12.888577779134115","-12.888577779134115","-12.888577779134115"
"372","-12.891014069318771","-12.891014069318771","-12.891014069318771"
"373","-12.89340540766716","-12.89340540766716","-12.89340540766716"
"374","-12.890863915284475","-12.890863915284475","-12.890863915284475"
"375","-12.893060714006424","-12.893060714006424","-12.893060714006424"
"376","-12.890891750653585","-12.890891750653585","-12.890891750653585"
"377","-12.893288552761078","-12.893288552761078","-12.893288552761078"
"378","-12.893447627623877","-12.893447627623877","-12.893447627623877"
"379","-12.88816406329473","-12.88816406329473","-12.88816406329473"
"380","-12.888896385828653","-12.888896385828653","-12.888896385828653"
"381","-12.889098197221756","-12.889098197221756","-12.889098197221756"
"382","-12.891007781028748","-12.891007781028748","-12.891007781028748"
"383","-12.892510265111923","-12.892510265111923","-12.892510265111923"
"384","-12.890857676664988","-12.890857676664988","-12.890857676664988"
"385","-12.891222586234411","-12.891222586234411","-12.891222586234411"
"386","-12.893068701028824","-12.893068701028824","-12.893068701028824"
"387","-12.89306997259458","-12.89306997259458","-12.89306997259458"
"388","-12.891458570957184","-12.891458570957184","-12.891458570957184"
"389","-12.893013030290604","-12.893013030290604","-12.893013030290604"
"390","-12.888280053933462","-12.888280053933462","-12.888280053933462"
"391","-12.893801212310791","-12.893801212310791","-12.893801212310791"
"392","-12.892739176750183","-12.892739176750183","-12.892739176750183"
"393","-12.894004116455713","-12.894004116455713","-12.894004116455713"
"394","-12.895308862129847","-12.895308862129847","-12.895308862129847"
"395","-12.894528687000275","-12.894528687000275","-12.894528687000275"
"396","-12.894139031569162","-12.894139031569162","-12.894139031569162"
"397","-12.889932960271835","-12.889932960271835","-12.889932960271835"
"398","-12.88927674293518","-12.88927674293518","-12.88927674293518"
"399","-12.89213678240776","-12.89213678240776","-12.89213678240776"
"400","-12.892934451500574","-12.892934451500574","-12.892934451500574"
"401","-12.893869707981745","-12.893869707981745","-12.893869707981745"
"402","-12.893296937147776","-12.893296937147776","-12.893296937147776"
"403","-12.897240996360779","-12.897240996360779","-12.897240996360779"
"404","-12.896104355653128","-12.896104355653128","-12.896104355653128"
"405","-12.893249948819479","-12.893249948819479","-12.893249948819479"
"406","-12.892523964246115","-12.892523964246115","-12.892523964246115"
"407","-12.895593702793121","-12.895593702793121","-12.895593702793121"
"408","-12.895110050837198","-12.895110050837198","-12.895110050837198"
"409","-12.895208815733591","-12.895208815733591","-12.895208815733591"
"410","-12.895480543375015","-12.895480543375015","-12.895480543375015"
"411","-12.896414369344711","-12.896414369344711","-12.896414369344711"
"412","-12.894026458263397","-12.894026458263397","-12.894026458263397"
"413","-12.895938893159231","-12.895938893159231","-12.895938893159231"
"414","-12.89822460214297","-12.89822460214297","-12.89822460214297"
"415","-12.899595826864243","-12.899595826864243","-12.899595826864243"
"416","-12.899110039075216","-12.899110039075216","-12.899110039075216"
"417","-12.898509532213211","-12.898509532213211","-12.898509532213211"
"418","-12.902111828327179","-12.902111828327179","-12.902111828327179"
"419","-12.901117622852325","-12.901117622852325","-12.901117622852325"
"420","-12.900851865609487","-12.900851865609487","-12.900851865609487"
"421","-12.900836636622747","-12.900836636622747","-12.900836636622747"
"422","-12.897236833969751","-12.897236833969751","-12.897236833969751"
"423","-12.899410237868628","-12.899410237868628","-12.899410237868628"
"424","-12.902554710706076","-12.902554710706076","-12.902554710706076"
"425","-12.901010473569235","-12.901010473569235","-12.901010473569235"
"426","-12.896679977575937","-12.896679977575937","-12.896679977575937"
"427","-12.902370512485504","-12.902370512485504","-12.902370512485504"
"428","-12.902108083168665","-12.902108083168665","-12.902108083168665"
"429","-12.90685804684957","-12.90685804684957","-12.90685804684957"
"430","-12.905015389124552","-12.905015389124552","-12.905015389124552"
"431","-12.905475656191507","-12.905475656191507","-12.905475656191507"
"432","-12.905766516923904","-12.905766516923904","-12.905766516923904"
"433","-12.902988384167353","-12.902988384167353","-12.902988384167353"
"434","-12.902571042378744","-12.902571042378744","-12.902571042378744"
"435","-12.906226992607117","-12.906226992607117","-12.906226992607117"
"436","-12.904214551051458","-12.904214551051458","-12.904214551051458"
"437","-12.905949463446936","-12.905949463446936","-12.905949463446936"
"438","-12.907787968715033","-12.907787968715033","-12.907787968715033"
"439","-12.903954605261484","-12.903954605261484","-12.903954605261484"
"440","-12.90339681506157","-12.90339681506157","-12.90339681506157"
"441","-12.906479815642038","-12.906479815642038","-12.906479815642038"
"442","-12.90688786904017","-12.90688786904017","-12.90688786904017"
"443","-12.907359381516775","-12.907359381516775","-12.907359381516775"
