"Step","SupervisedLearning_1 - SpectralEfficiency/pred","SupervisedLearning_1 - SpectralEfficiency/pred__MIN","SupervisedLearning_1 - SpectralEfficiency/pred__MAX","SupervisedLearning_1 - SpectralEfficiency/rand","SupervisedLearning_1 - SpectralEfficiency/rand__MIN","SupervisedLearning_1 - SpectralEfficiency/rand__MAX","SupervisedLearning_1 - SpectralEfficiency/val","SupervisedLearning_1 - SpectralEfficiency/val__MIN","SupervisedLearning_1 - SpectralEfficiency/val__MAX","SupervisedLearning_1 - SpectralEfficiency/zero","SupervisedLearning_1 - SpectralEfficiency/zero__MIN","SupervisedLearning_1 - SpectralEfficiency/zero__MAX"
"0","11.83475399017334","11.83475399017334","11.83475399017334","11.780220985412598","11.780220985412598","11.780220985412598","11.890082359313965","11.890082359313965","11.890082359313965","11.84359073638916","11.84359073638916","11.84359073638916"
"100","11.85381031036377","11.85381031036377","11.85381031036377","11.82978343963623","11.82978343963623","11.82978343963623","11.890082359313965","11.890082359313965","11.890082359313965","11.84359073638916","11.84359073638916","11.84359073638916"
"200","11.865096092224121","11.865096092224121","11.865096092224121","11.81074047088623","11.81074047088623","11.81074047088623","11.890082359313965","11.890082359313965","11.890082359313965","11.84359073638916","11.84359073638916","11.84359073638916"
"300","11.824575424194336","11.824575424194336","11.824575424194336","11.75426197052002","11.75426197052002","11.75426197052002","11.890082359313965","11.890082359313965","11.890082359313965","11.84359073638916","11.84359073638916","11.84359073638916"
"400","11.853131294250488","11.853131294250488","11.853131294250488","11.789560317993164","11.789560317993164","11.789560317993164","11.890082359313965","11.890082359313965","11.890082359313965","11.84359073638916","11.84359073638916","11.84359073638916"
"500","11.860755920410156","11.860755920410156","11.860755920410156","11.750044822692871","11.750044822692871","11.750044822692871","11.890082359313965","11.890082359313965","11.890082359313965","11.84359073638916","11.84359073638916","11.84359073638916"
"600","11.839937210083008","11.839937210083008","11.839937210083008","11.765806198120117","11.765806198120117","11.765806198120117","11.890082359313965","11.890082359313965","11.890082359313965","11.84359073638916","11.84359073638916","11.84359073638916"
"700","11.842251777648926","11.842251777648926","11.842251777648926","11.76476001739502","11.76476001739502","11.76476001739502","11.890082359313965","11.890082359313965","11.890082359313965","11.84359073638916","11.84359073638916","11.84359073638916"
"800","11.84615707397461","11.84615707397461","11.84615707397461","11.830777168273926","11.830777168273926","11.830777168273926","11.890082359313965","11.890082359313965","11.890082359313965","11.84359073638916","11.84359073638916","11.84359073638916"
"900","11.85632610321045","11.85632610321045","11.85632610321045","11.739503860473633","11.739503860473633","11.739503860473633","11.890082359313965","11.890082359313965","11.890082359313965","11.84359073638916","11.84359073638916","11.84359073638916"
"1000","11.84993839263916","11.84993839263916","11.84993839263916","11.748987197875977","11.748987197875977","11.748987197875977","11.890082359313965","11.890082359313965","11.890082359313965","11.84359073638916","11.84359073638916","11.84359073638916"
"1100","11.85423469543457","11.85423469543457","11.85423469543457","11.801465034484863","11.801465034484863","11.801465034484863","11.890082359313965","11.890082359313965","11.890082359313965","11.84359073638916","11.84359073638916","11.84359073638916"
"1200","11.859667778015137","11.859667778015137","11.859667778015137","11.765531539916992","11.765531539916992","11.765531539916992","11.890082359313965","11.890082359313965","11.890082359313965","11.84359073638916","11.84359073638916","11.84359073638916"
"1300","11.836259841918945","11.836259841918945","11.836259841918945","11.805224418640137","11.805224418640137","11.805224418640137","11.890082359313965","11.890082359313965","11.890082359313965","11.84359073638916","11.84359073638916","11.84359073638916"
"1400","11.855195045471191","11.855195045471191","11.855195045471191","11.812685012817383","11.812685012817383","11.812685012817383","11.890082359313965","11.890082359313965","11.890082359313965","11.84359073638916","11.84359073638916","11.84359073638916"
"1500","11.852405548095703","11.852405548095703","11.852405548095703","11.789810180664062","11.789810180664062","11.789810180664062","11.890082359313965","11.890082359313965","11.890082359313965","11.84359073638916","11.84359073638916","11.84359073638916"
"1600","11.843849182128906","11.843849182128906","11.843849182128906","11.772780418395996","11.772780418395996","11.772780418395996","11.890082359313965","11.890082359313965","11.890082359313965","11.84359073638916","11.84359073638916","11.84359073638916"
"1700","11.854325294494629","11.854325294494629","11.854325294494629","11.769530296325684","11.769530296325684","11.769530296325684","11.890082359313965","11.890082359313965","11.890082359313965","11.84359073638916","11.84359073638916","11.84359073638916"
"1800","11.870732307434082","11.870732307434082","11.870732307434082","11.772882461547852","11.772882461547852","11.772882461547852","11.890082359313965","11.890082359313965","11.890082359313965","11.84359073638916","11.84359073638916","11.84359073638916"
"1900","11.844620704650879","11.844620704650879","11.844620704650879","11.807943344116211","11.807943344116211","11.807943344116211","11.890082359313965","11.890082359313965","11.890082359313965","11.84359073638916","11.84359073638916","11.84359073638916"
"2000","11.845282554626465","11.845282554626465","11.845282554626465","11.740482330322266","11.740482330322266","11.740482330322266","11.890082359313965","11.890082359313965","11.890082359313965","11.84359073638916","11.84359073638916","11.84359073638916"
"2100","11.865479469299316","11.865479469299316","11.865479469299316","11.842594146728516","11.842594146728516","11.842594146728516","11.890082359313965","11.890082359313965","11.890082359313965","11.84359073638916","11.84359073638916","11.84359073638916"
"2200","11.857898712158203","11.857898712158203","11.857898712158203","11.771821022033691","11.771821022033691","11.771821022033691","11.890082359313965","11.890082359313965","11.890082359313965","11.84359073638916","11.84359073638916","11.84359073638916"
"2300","11.844074249267578","11.844074249267578","11.844074249267578","11.805306434631348","11.805306434631348","11.805306434631348","11.890082359313965","11.890082359313965","11.890082359313965","11.84359073638916","11.84359073638916","11.84359073638916"
"2400","11.839808464050293","11.839808464050293","11.839808464050293","11.842437744140625","11.842437744140625","11.842437744140625","11.890082359313965","11.890082359313965","11.890082359313965","11.84359073638916","11.84359073638916","11.84359073638916"
"2500","11.843979835510254","11.843979835510254","11.843979835510254","11.772789001464844","11.772789001464844","11.772789001464844","11.890082359313965","11.890082359313965","11.890082359313965","11.84359073638916","11.84359073638916","11.84359073638916"
"2600","11.854536056518555","11.854536056518555","11.854536056518555","11.770191192626953","11.770191192626953","11.770191192626953","11.890082359313965","11.890082359313965","11.890082359313965","11.84359073638916","11.84359073638916","11.84359073638916"
"2700","11.842557907104492","11.842557907104492","11.842557907104492","11.78105640411377","11.78105640411377","11.78105640411377","11.890082359313965","11.890082359313965","11.890082359313965","11.84359073638916","11.84359073638916","11.84359073638916"
"2800","11.841297149658203","11.841297149658203","11.841297149658203","11.723721504211426","11.723721504211426","11.723721504211426","11.890082359313965","11.890082359313965","11.890082359313965","11.84359073638916","11.84359073638916","11.84359073638916"
"2900","11.847955703735352","11.847955703735352","11.847955703735352","11.814432144165039","11.814432144165039","11.814432144165039","11.890082359313965","11.890082359313965","11.890082359313965","11.84359073638916","11.84359073638916","11.84359073638916"
"3000","11.844005584716797","11.844005584716797","11.844005584716797","11.827411651611328","11.827411651611328","11.827411651611328","11.890082359313965","11.890082359313965","11.890082359313965","11.84359073638916","11.84359073638916","11.84359073638916"
"3100","11.83094596862793","11.83094596862793","11.83094596862793","11.79747486114502","11.79747486114502","11.79747486114502","11.890082359313965","11.890082359313965","11.890082359313965","11.84359073638916","11.84359073638916","11.84359073638916"
"3200","11.846247673034668","11.846247673034668","11.846247673034668","11.765669822692871","11.765669822692871","11.765669822692871","11.890082359313965","11.890082359313965","11.890082359313965","11.84359073638916","11.84359073638916","11.84359073638916"
"3300","11.845661163330078","11.845661163330078","11.845661163330078","11.870384216308594","11.870384216308594","11.870384216308594","11.890082359313965","11.890082359313965","11.890082359313965","11.84359073638916","11.84359073638916","11.84359073638916"
"3400","11.839917182922363","11.839917182922363","11.839917182922363","11.801094055175781","11.801094055175781","11.801094055175781","11.890082359313965","11.890082359313965","11.890082359313965","11.84359073638916","11.84359073638916","11.84359073638916"
"3500","11.846476554870605","11.846476554870605","11.846476554870605","11.775381088256836","11.775381088256836","11.775381088256836","11.890082359313965","11.890082359313965","11.890082359313965","11.84359073638916","11.84359073638916","11.84359073638916"
"3600","11.840851783752441","11.840851783752441","11.840851783752441","11.810057640075684","11.810057640075684","11.810057640075684","11.890082359313965","11.890082359313965","11.890082359313965","11.84359073638916","11.84359073638916","11.84359073638916"
